aifstime_utc[80],apparent_t,cloud_base_m,cloud_oktas,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,rain_trace[80],rel_hum,vis_km[80],wind_spd_kmh,wind_spd_kt
20260217132100,10.4,390,5,0.7,17,9,12.2,10.8,1006.5,1006.5,1007.9,6.6,91,10,11,6
20260217130000,10.7,300,5,0.7,20,11,12.4,11.1,1006.5,1006.5,1007.9,6.6,92,10,11,6
20260217124300,10.3,420,3,0.7,20,11,12.7,11.4,1006.6,1006.6,1008.0,6.6,92,10,15,8
20260217123000,10.8,420,5,0.7,19,10,12.8,11.5,1006.7,1006.7,1008.1,6.6,92,10,13,7
20260217122400,10.8,420,5,0.7,19,10,12.8,11.5,1006.6,1006.6,1008.0,6.6,92,10,13,7
20260217120000,11.4,720,8,0.6,19,10,12.6,11.5,1006.9,1006.9,1008.4,6.6,93,10,9,5
20260217114300,11.0,210,1,0.5,20,11,12.3,11.4,1006.8,1006.8,1008.2,6.6,94,10,9,5
20260217113600,10.3,150,3,0.4,20,11,12.3,11.5,1006.8,1006.8,1008.2,6.6,95,10,13,7
20260217113000,9.2,150,5,0.4,32,17,12.3,11.5,1006.6,1006.6,1008.0,6.6,95,9,19,10
20260217110000,9.0,120,5,0.4,32,17,12.6,11.8,1006.4,1006.4,1007.8,6.6,95,3,22,12
20260217103100,12.5,120,8,0.3,22,12,14.2,13.6,1005.7,1005.7,1007.2,6.4,96,5,15,8
20260217103000,12.6,120,8,0.3,24,13,14.3,13.7,1005.7,1005.7,1007.2,6.4,96,5,15,8
20260217100000,11.9,100,7,0.5,26,14,14.4,13.6,1005.4,1005.4,1006.9,6.4,95,10,19,10
20260217093400,13.1,150,5,0.5,26,14,15.0,14.2,1004.9,1004.9,1006.4,6.2,95,10,17,9
20260217093000,12.7,180,5,0.6,26,14,15.0,14.0,1004.9,1004.9,1006.4,6.2,94,8,19,10
20260217091300,14.9,150,3,0.9,30,16,16.5,15.0,1004.5,1004.5,1006.0,5.4,91,5,17,9
20260217090800,17.7,150,3,0.6,20,11,18.1,17.1,1004.3,1004.3,1005.7,4.4,94,5,15,8
20260217090000,18.2,270,5,0.6,19,10,18.2,17.2,1004.2,1004.2,1005.6,4.0,94,5,13,7
20260217083200,19.5,600,1,1.2,15,8,18.9,16.9,1003.8,1003.8,1005.2,2.2,88,5,9,5
20260217083000,19.7,600,1,1.2,13,7,19.0,17.0,1003.8,1003.8,1005.2,2.0,88,7,9,5
20260217080000,19.3,1890,5,1.8,19,10,19.3,16.3,1003.6,1003.6,1005.1,0.4,83,10,11,6
